year,round,type,institute,program,quota,category,gender,orank,crank
2017,7,"IIT","Indian Institute of Technology Bombay","Electrical Engineering with M.Tech. in Microelectronics (5 Years, Bachelor and Master of Technology (Dual Degree))","AI","OBC-NCL","NA",239,314
2017,7,"IIT","Indian Institute of Technology Bombay","Electrical Engineering with M.Tech. in Microelectronics (5 Years, Bachelor and Master of Technology (Dual Degree))","AI","SC","NA",86,181
2017,7,"IIT","Indian Institute of Technology Bombay","Electrical Engineering with M.Tech. in Microelectronics (5 Years, Bachelor and Master of Technology (Dual Degree))","AI","ST","NA",153,184
2017,7,"IIT","Indian Institute of Technology Bombay","Energy Engineering with M.Tech. in Energy Systems Engineering (5 Years, Bachelor and Master of Technology (Dual Degree))","AI","OPEN","NA",1294,2514
2017,7,"IIT","Indian Institute of Technology Bombay","Energy Engineering with M.Tech. in Energy Systems Engineering (5 Years, Bachelor and Master of Technology (Dual Degree))","AI","OBC-NCL","NA",915,1302
2017,7,"IIT","Indian Institute of Technology Bombay","Energy Engineering with M.Tech. in Energy Systems Engineering (5 Years, Bachelor and Master of Technology (Dual Degree))","AI","SC","NA",574,1000
2017,7,"IIT","Indian Institute of Technology Bombay","Energy Engineering with M.Tech. in Energy Systems Engineering (5 Years, Bachelor and Master of Technology (Dual Degree))","AI","ST","NA",362,377
2017,7,"IIT","Indian Institute of Technology Bombay","Engineering Physics (4 Years, Bachelor of Technology)","AI","OPEN","NA",64,1223
2017,7,"IIT","Indian Institute of Technology Bombay","Engineering Physics (4 Years, Bachelor of Technology)","AI","OBC-NCL","NA",194,786
2017,7,"IIT","Indian Institute of Technology Bombay","Engineering Physics (4 Years, Bachelor of Technology)","AI","SC","NA",166,579
2017,7,"IIT","Indian Institute of Technology Bombay","Engineering Physics (4 Years, Bachelor of Technology)","AI","SC (PwD)","NA",5,5
2017,7,"IIT","Indian Institute of Technology Bombay","Engineering Physics (4 Years, Bachelor of Technology)","AI","ST","NA",201,272
2017,7,"IIT","Indian Institute of Technology Bombay","Mechanical Engineering (4 Years, Bachelor of Technology)","AI","OPEN","NA",297,738
2017,7,"IIT","Indian Institute of Technology Bombay","Mechanical Engineering (4 Years, Bachelor of Technology)","AI","OPEN (PwD)","NA",18,18
2017,7,"IIT","Indian Institute of Technology Bombay","Mechanical Engineering (4 Years, Bachelor of Technology)","AI","OBC-NCL","NA",110,363
2017,7,"IIT","Indian Institute of Technology Bombay","Mechanical Engineering (4 Years, Bachelor of Technology)","AI","OBC-NCL (PwD)","NA",10,10
2017,7,"IIT","Indian Institute of Technology Bombay","Mechanical Engineering (4 Years, Bachelor of Technology)","AI","SC","NA",81,163
2017,7,"IIT","Indian Institute of Technology Bombay","Mechanical Engineering (4 Years, Bachelor of Technology)","AI","ST","NA",33,104
2017,7,"IIT","Indian Institute of Technology Bombay","Mechanical Engineering (4 Years, Bachelor of Technology)","AI","ST (PwD)","NA",3,3
2017,7,"IIT","Indian Institute of Technology Bombay","Mechanical Engineering and M.Tech. in Computer Integrated Manufacturing (5 Years, Bachelor and Master of Technology (Dual Degree))","AI","OPEN","NA",260,879
2017,7,"IIT","Indian Institute of Technology Bombay","Mechanical Engineering and M.Tech. in Computer Integrated Manufacturing (5 Years, Bachelor and Master of Technology (Dual Degree))","AI","OPEN (PwD)","NA",57,57
2017,7,"IIT","Indian Institute of Technology Bombay","Mechanical Engineering and M.Tech. in Computer Integrated Manufacturing (5 Years, Bachelor and Master of Technology (Dual Degree))","AI","OBC-NCL","NA",425,504
2017,7,"IIT","Indian Institute of Technology Bombay","Mechanical Engineering and M.Tech. in Computer Integrated Manufacturing (5 Years, Bachelor and Master of Technology (Dual Degree))","AI","SC","NA",91,213
2017,7,"IIT","Indian Institute of Technology Bombay","Mechanical Engineering and M.Tech. in Computer Integrated Manufacturing (5 Years, Bachelor and Master of Technology (Dual Degree))","AI","ST","NA",120,131
2017,7,"IIT","Indian Institute of Technology Bombay","Metallurgical Engineering and Materials Science (4 Years, Bachelor of Technology)","AI","OPEN","NA",1600,3039
2017,7,"IIT","Indian Institute of Technology Bombay","Metallurgical Engineering and Materials Science (4 Years, Bachelor of Technology)","AI","OPEN (PwD)","NA",71,120
2017,7,"IIT","Indian Institute of Technology Bombay","Metallurgical Engineering and Materials Science (4 Years, Bachelor of Technology)","AI","OBC-NCL","NA",1106,1493
2017,7,"IIT","Indian Institute of Technology Bombay","Metallurgical Engineering and Materials Science (4 Years, Bachelor of Technology)","AI","OBC-NCL (PwD)","NA",49,49
2017,7,"IIT","Indian Institute of Technology Bombay","Metallurgical Engineering and Materials Science (4 Years, Bachelor of Technology)","AI","SC","NA",676,960
